NameOfStation,Line,Year,IncomingPassengers,OutgoingPassengers,global_id
Воробьёвы горы,Сокольническая линия,2021,2593749,2494384,1139049613
Воробьёвы горы,Сокольническая линия,2022,3317562,3219380,2363398920
Воробьёвы горы,Сокольническая линия,2023,3941024,3815109,2581188965
Воробьёвы горы,Сокольническая линия,2024,3566108,3441233,2664615935
Воронцовская,Большая кольцевая линия,2021,143937,151324,1508957896
Воронцовская,Большая кольцевая линия,2022,2349409,2438889,2363398707
Воронцовская,Большая кольцевая линия,2023,5048277,5258349,2581188741
Воронцовская,Большая кольцевая линия,2024,3843169,4037386,2664615760
Выставочный центр,Московская монорельсовая транспортная система,2021,258251,228795,1139049622
Выставочный центр,Московская монорельсовая транспортная система,2022,298290,259964,2363398824
Выставочный центр,Московская монорельсовая транспортная система,2023,345197,299811,2581188872
Выставочный центр,Московская монорельсовая транспортная система,2024,332075,284596,2664615863
Выхино,Таганско-Краснопресненская линия,2021,20584567,20000460,1138976304
Выхино,Таганско-Краснопресненская линия,2022,21940820,21036328,2363398968
Выхино,Таганско-Краснопресненская линия,2023,22026386,21154246,2581189011
Выхино,Таганско-Краснопресненская линия,2024,16389914,15735125,2664615978
Генерала Тюленева,Троицкая линия,2024,104578,104677,2703957815
Говорово,Солнцевская линия,2021,3899178,3665798,1138976458
Говорово,Солнцевская линия,2022,4427302,4243759,2363398941
Говорово,Солнцевская линия,2023,4376981,4204687,2581188985
Говорово,Солнцевская линия,2024,3123139,3016212,2664615952
Давыдково,Большая кольцевая линия,2021,156097,158951,1508957891
Давыдково,Большая кольцевая линия,2022,3129210,3128971,2363398701
Давыдково,Большая кольцевая линия,2023,4203025,4228865,2581188735
Давыдково,Большая кольцевая линия,2024,3328405,3369079,2664615755
Деловой центр,Большая кольцевая линия,2021,5028890,4913840,1139050961
Деловой центр,Большая кольцевая линия,2022,5402905,5451304,2363420542
Деловой центр,Большая кольцевая линия,2023,4514669,4562345,2581190067
Деловой центр,Большая кольцевая линия,2024,3780361,3793322,2664619842
Деловой центр,Солнцевская линия,2021,3081863,3020587,1139049587
Деловой центр,Солнцевская линия,2022,4650942,4696080,2363398933
Деловой центр,Солнцевская линия,2023,5303511,5348931,2581188977
Деловой центр,Солнцевская линия,2024,4896541,4948267,2664615945
Деловой центр,Филёвская линия,2021,5514730,5496459,1139049790
Деловой центр,Филёвская линия,2022,5508464,5575817,2363398986
Деловой центр,Филёвская линия,2023,5540010,5542231,2581189030
Деловой центр,Филёвская линия,2024,4514206,4499704,2664619584
Динамо,Замоскворецкая линия,2021,8731993,8973284,1138976127
Динамо,Замоскворецкая линия,2022,9564169,9814932,2363398726
Динамо,Замоскворецкая линия,2023,9503864,9658187,2581188771
Динамо,Замоскворецкая линия,2024,7162442,7274513,2664615784
Дмитровская,Серпуховско-Тимирязевская линия,2021,10832337,11038768,1138976334
Дмитровская,Серпуховско-Тимирязевская линия,2022,11336737,11636894,2363398882
Дмитровская,Серпуховско-Тимирязевская линия,2023,11770714,12060625,2581188927
Дмитровская,Серпуховско-Тимирязевская линия,2024,8949130,9178641,2664615902
Добрынинская,Кольцевая линия,2021,6270438,6513168,1138976073
Добрынинская,Кольцевая линия,2022,6765724,7095900,2363398793
Добрынинская,Кольцевая линия,2023,7032930,7401719,2581188839
Добрынинская,Кольцевая линия,2024,5325844,5592927,2664615836
Домодедовская,Замоскворецкая линия,2021,20140008,18725145,1138976147
Домодедовская,Замоскворецкая линия,2022,19489866,17955363,2363398742
Домодедовская,Замоскворецкая линия,2023,15910566,14775714,2581188787
Домодедовская,Замоскворецкая линия,2024,15514936,14525946,2664615799
Достоевская,Люблинско-Дмитровская линия,2021,4074422,4259975,1138976324
Достоевская,Люблинско-Дмитровская линия,2022,4220372,4409776,2363398805
Достоевская,Люблинско-Дмитровская линия,2023,4474857,4649755,2581188851
Достоевская,Люблинско-Дмитровская линия,2024,3295460,3427754,2664615843
Дубровка,Люблинско-Дмитровская линия,2021,5879874,6222406,1139049581
Дубровка,Люблинско-Дмитровская линия,2022,6178612,6538434,2363398811
Дубровка,Люблинско-Дмитровская линия,2023,6210503,6516395,2581188859
Дубровка,Люблинско-Дмитровская линия,2024,4418877,4635689,2664615850
Дубровка,Московское центральное кольцо,2021,3078069,3276944,1139050947
Дубровка,Московское центральное кольцо,2022,3020835,3232668,2363426933
Дубровка,Московское центральное кольцо,2023,2782327,2956948,2581190493
Дубровка,Московское центральное кольцо,2024,1957815,2076799,2664648761
Жулебино,Таганско-Краснопресненская линия,2021,7738251,7457052,1138976308
Жулебино,Таганско-Краснопресненская линия,2022,8539766,8246351,2363398970
Жулебино,Таганско-Краснопресненская линия,2023,8918247,8701492,2581189014
Жулебино,Таганско-Краснопресненская линия,2024,6327980,6190043,2664615981
ЗИЛ,Московское центральное кольцо,2021,2517499,2637265,1138976480
ЗИЛ,Московское центральное кольцо,2022,3190259,3360776,2363398850
ЗИЛ,Московское центральное кольцо,2023,3965705,4168829,2581189596
ЗИЛ,Московское центральное кольцо,2024,2888672,3038862,2664615877
Зорге,Московское центральное кольцо,2021,1591591,1665967,1138976500
Зорге,Московское центральное кольцо,2022,1719459,1807620,2363398860
Зорге,Московское центральное кольцо,2023,1721846,1808444,2581189606
Зорге,Московское центральное кольцо,2024,1289453,1349463,2664615884
Зюзино,Большая кольцевая линия,2021,286405,291437,1508957897
Зюзино,Большая кольцевая линия,2022,5101684,5060879,2363398708
Зюзино,Большая кольцевая линия,2023,7048321,7078222,2581188742
Зюзино,Большая кольцевая линия,2024,5885252,5958880,2664615761
Зябликово,Люблинско-Дмитровская линия,2021,3308969,3316272,1138976359
Зябликово,Люблинско-Дмитровская линия,2022,4569009,4514625,2363398822
Зябликово,Люблинско-Дмитровская линия,2023,6629029,6374976,2581188870
Зябликово,Люблинско-Дмитровская линия,2024,2820999,2721626,2664615860
Измайлово,Московское центральное кольцо,2021,3135657,3422842,1138976492
Измайлово,Московское центральное кольцо,2022,3317579,3606085,2363398839
Измайлово,Московское центральное кольцо,2023,3494902,3728925,2581189586
Измайлово,Московское центральное кольцо,2024,2618701,2778259,2664615871
Измайловская,Арбатско-Покровская линия,2021,5991594,6027631,1138976110
Измайловская,Арбатско-Покровская линия,2022,6283698,6301915,2363398682
Измайловская,Арбатско-Покровская линия,2023,6406813,6440631,2581188717
Измайловская,Арбатско-Покровская линия,2024,4673574,4711289,2664615744
Калужская,Калужско-Рижская линия,2021,11340979,11723863,1138976116
Калужская,Калужско-Рижская линия,2022,10995706,11458510,2363398776
Калужская,Калужско-Рижская линия,2023,8837647,9231265,2581188822
Калужская,Калужско-Рижская линия,2024,6485488,6816291,2664615825
